tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,1,G0BY,2,,Daniil Glinka,L,188,EST,26.226,166,341,Z0BL,,,Fares Zakaria,R,183,EGY,25.224,514,85,6-4 3-6 6-1,3,R32,130,12,3,68,38,30,21,13,0,1,6,10,100,48,35,23,13,9,12
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,2,R0JW,8,,Michele Ribecai,R,173,ITA,23.493,265,209,R0IL,,,Iliyan Radulov,R,187,BUL,21.144,617,60,6-2 6-1,3,R32,76,4,1,64,41,27,15,8,6,6,4,2,54,28,13,11,7,7,11
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,3,B0P4,,,Tomasz Berkieta,R,191,POL,20.036,558,72,MJ98,,,Facundo Mena,R,183,ARG,33.862,333,157,6-3 7-6(1),3,R32,84,8,4,65,33,26,20,11,0,1,3,6,81,38,25,22,10,6,8
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,4,D923,1,,Damir Dzumhur,R,175,BIH,34.204,104,632,BU54,,,Geoffrey Blancaneaux,R,180,FRA,27.986,414,116,6-2 6-4,3,R32,93,2,1,52,33,21,15,9,2,3,0,1,57,35,22,8,9,2,6
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,5,G0A0,4,,Andrea Guerrieri,L,180,ITA,27.666,213,261,W0BU,,,Olle Wallin,R,191,SWE,24.78,407,118,6-1 6-4,3,R32,79,2,3,49,30,22,12,8,5,6,3,5,76,45,27,10,9,6,11
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,6,M0HT,5,,Alejandro Moro Canas,R,183,ESP,25.654,236,239,B0JJ,,,Robin Bertrand,R,178,FRA,23.387,368,137,7-5 6-4,3,R32,111,6,2,58,39,30,11,11,0,2,1,3,72,42,24,16,11,5,9
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,7,M0G4,7,,Harold Mayot,R,180,FRA,24.493,255,217,P0FU,,,Filip Pieczonka,L,196,POL,22.316,1061,16,6-2 6-2,3,R32,72,1,3,61,40,30,10,8,2,2,10,6,51,32,22,6,8,8,12
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,8,DH46,,,Alexander Donski,R,188,BUL,28.005,551,74,K0DE,,,Takuya Kumasaka,R,175,JPN,27.808,549,75,7-5 6-4,3,R32,105,12,5,72,41,35,12,11,6,7,7,2,71,41,31,12,11,6,9
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,9,DF88,,,Aziz Dougaz,L,188,TUN,29.355,690,49,BE67,,,Mirza Basic,R,188,BIH,35.061,712,47,6-1 6-4,3,R32,51,13,1,39,28,26,10,9,0,0,5,1,63,45,28,7,8,6,9
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,10,DC76,,,Viktor Durasovic,R,185,NOR,29.374,475,94,GG65,,,Michael Geerts,R,178,BEL,31.543,339,156,6-7(9) 6-2 6-2,3,R32,152,10,3,96,51,34,28,14,4,7,6,7,109,53,34,26,14,7,14
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,11,E0AC,,,Mathys Erhard,R,188,FRA,24.769,359,141,P0IT,,,Olaf Pieczkowski,R,183,POL,22.338,674,51,5-7 7-5 6-1,3,R32,161,4,6,93,58,46,15,15,3,5,8,5,121,85,48,19,16,9,14
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,12,I305,,,Ilya Ivashka,R,193,BLR,32.438,402,120,KI48,,,Ergi Kirkin,R,180,TUR,27.515,608,63,6-1 5-7 6-3,3,R32,129,9,1,80,45,33,20,14,1,3,4,4,90,42,26,23,14,4,9
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,13,M09M,,,Ivan Marrero Curbelo,R,180,ESP,27.849,360,140,PF65,,,Filip Peliwo,R,180,POL,32.507,547,75,6-1 3-6 6-3,3,R32,93,3,0,71,44,34,18,13,1,2,3,3,64,36,25,15,12,1,4
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,14,V0G2,,,Amit Vales,R,173,ISR,21.155,679,51,M0GB,,,Alex Martinez,R,185,ESP,25.374,361,139,6-2 6-0,3,R32,50,0,4,38,27,21,6,7,0,1,0,3,44,23,10,5,7,7,13
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,15,S0WT,3,,Joel Schwaerzler,L,188,AUT,20.515,182,315,C0MV,,,Jiri Cizek,,,,,1358,7,6-3 6-1,3,R32,63,3,3,46,25,21,12,8,1,2,3,6,53,29,18,7,8,3,8
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,16,K0HC,6,,Maks Kasnikowski,R,180,POL,23.077,231,241,H0BF,,,Philip Henning,R,180,RSA,25.728,298,184,6-3 6-4,3,R32,86,9,2,64,26,21,22,10,1,2,3,1,54,36,21,9,9,4,7
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,17,G0BY,2,,Daniil Glinka,L,188,EST,26.226,166,341,V0G2,,,Amit Vales,R,173,ISR,21.155,679,51,7-5 1-6 6-4,3,R16,142,13,6,101,51,42,21,15,10,14,4,5,87,48,32,23,14,5,8
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,18,G0A0,4,,Andrea Guerrieri,L,180,ITA,27.666,213,261,DC76,,,Viktor Durasovic,R,185,NOR,29.374,475,94,6-4 4-6 6-2,3,R16,136,5,3,105,64,46,19,14,11,13,9,11,86,38,27,23,14,2,6
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,19,DH46,,,Alexander Donski,R,188,BUL,28.005,551,74,M0HT,5,,Alejandro Moro Canas,R,183,ESP,25.654,236,239,6-4 7-6(5),3,R16,115,7,3,71,42,39,18,11,3,3,3,0,65,46,32,14,11,1,2
2026-2789,Grodzisk Mazowiecki,Hard,32,C,O,20260803,20,I305,,,Ilya Ivashka,R,193,BLR,32.438,402,120,M0G4,,,Harold Mayot,R,180,FRA,24.493,255,217,W/O,3,R16,,,,,,,,,,,,,,,,,,,
2026-3111,Istanbul,Hard,32,C,O,20260803,1,B0JE,3,,Max Basing,R,180,GBR,23.836,250,219,R0HP,,,Lucio Ratti,R,183,ARG,22.516,380,130,7-6(5) 6-1,3,R32,106,1,5,71,52,42,8,10,5,6,4,3,76,51,33,11,9,4,7
2026-3111,Istanbul,Hard,32,C,O,20260803,2,S0O6,7,,Ilia Simakin,R,193,RUS,22.768,297,185,B0C0,,,Adrian Boitan,R,185,ROU,27.064,435,108,5-7 6-3 6-4,3,R32,136,14,6,97,52,45,21,16,6,8,6,4,93,61,43,16,15,4,7
2026-3111,Istanbul,Hard,32,C,O,20260803,3,G0IW,,,Antoine Ghibaudo,R,191,FRA,21.52,351,146,D0IO,,,Tuncay Duran,R,191,TUR,22.168,626,58,7-5 7-6(4),3,R32,130,1,3,96,62,44,17,12,9,11,4,2,86,51,32,16,12,3,6
2026-3111,Istanbul,Hard,32,C,O,20260803,4,SX90,,,Fajing Sun,R,178,CHN,29.832,326,162,P0KA,,,Semen Pankin,R,183,RUS,26.913,421,113,6-4 6-1,3,R32,75,1,0,48,36,25,9,8,0,0,7,1,59,33,19,11,9,3,7
2026-3111,Istanbul,Hard,32,C,O,20260803,5,PJ74,,,Lucas Poullain,R,175,FRA,30.661,500,90,A09T,1,,Dan Added,R,183,FRA,27.307,220,254,6-4 6-1,3,R32,87,3,1,58,37,22,16,8,6,6,2,0,47,22,15,11,9,0,4
2026-3111,Istanbul,Hard,32,C,O,20260803,6,B0BU,2,,Florent Bax,R,185,FRA,27.132,247,223,W0A4,,,Arthur Weber,L,185,FRA,34.234,398,122,6-3 6-4,3,R32,80,8,2,59,37,31,9,10,2,3,0,3,49,30,20,8,9,0,3
